frame_1,frame_2,ssim_score,motion_score
frame_0000.png,frame_0001.png,0.953559810067502,0.3965684
frame_0001.png,frame_0002.png,0.966127396148695,0.27627572
frame_0002.png,frame_0003.png,0.9626938480777906,0.3268493
frame_0003.png,frame_0004.png,0.9552930367318733,0.40305287
frame_0004.png,frame_0005.png,0.9527554696188062,0.43087295
frame_0005.png,frame_0006.png,0.9510266560883103,0.44194236
frame_0006.png,frame_0007.png,0.9498913547483275,0.46887356
frame_0007.png,frame_0008.png,0.9485238580952523,0.48238578
frame_0008.png,frame_0009.png,0.9469568995937672,0.4947825
frame_0009.png,frame_0010.png,0.9473986670192114,0.4942199
frame_0010.png,frame_0011.png,0.9459024090559781,0.49866828
frame_0011.png,frame_0012.png,0.9492431025071831,0.4713128
frame_0012.png,frame_0013.png,0.9455827067916095,0.5116692
frame_0013.png,frame_0014.png,0.9475124435167839,0.49449104
frame_0014.png,frame_0015.png,0.947625789439841,0.47810656
frame_0015.png,frame_0016.png,0.9452406690007106,0.50300884
frame_0016.png,frame_0017.png,0.9452329217352876,0.5016722
frame_0017.png,frame_0018.png,0.9421157607036008,0.5500039
frame_0018.png,frame_0019.png,0.9432013060706226,0.53043705
frame_0019.png,frame_0020.png,0.945538879861845,0.51107234
frame_0020.png,frame_0021.png,0.9429490636986949,0.54612476
frame_0021.png,frame_0022.png,0.9445198380808164,0.5206502
frame_0022.png,frame_0023.png,0.9455156878946072,0.51822287
frame_0023.png,frame_0024.png,0.9477464239825606,0.5066269
frame_0024.png,frame_0025.png,0.9499979641612888,0.48561087
frame_0025.png,frame_0026.png,0.9518965628581135,0.4728648
frame_0026.png,frame_0027.png,0.9561498537661047,0.43922344
frame_0027.png,frame_0028.png,0.957742160221819,0.4175546
frame_0028.png,frame_0029.png,0.9614513999876465,0.37956712
frame_0029.png,frame_0030.png,0.9620724892121899,0.36923978
frame_0030.png,frame_0031.png,0.9634780435392235,0.33087084
frame_0031.png,frame_0032.png,0.9676555058359013,0.29209933
frame_0032.png,frame_0033.png,0.96731612018489,0.2875623
frame_0033.png,frame_0034.png,0.9668033124180552,0.2943417
frame_0034.png,frame_0035.png,0.9655811702514939,0.3261214
frame_0035.png,frame_0036.png,0.9681254148765523,0.29306605
frame_0036.png,frame_0037.png,0.9681383333855618,0.28179494
frame_0037.png,frame_0038.png,0.967264739333623,0.28203714
frame_0038.png,frame_0039.png,0.9690482253340051,0.25760192
frame_0039.png,frame_0040.png,0.968807570672862,0.26633283
frame_0040.png,frame_0041.png,0.9692045923674081,0.25163317
frame_0041.png,frame_0042.png,0.9677683184830737,0.27445385
frame_0042.png,frame_0043.png,0.9660427176870567,0.29335162
frame_0043.png,frame_0044.png,0.9686657650233669,0.25861004
frame_0044.png,frame_0045.png,0.9684534684842021,0.25739402
frame_0045.png,frame_0046.png,0.9655443827658373,0.28471997
frame_0046.png,frame_0047.png,0.9665702241114149,0.28989184
frame_0047.png,frame_0048.png,0.967121920348517,0.2791357
frame_0048.png,frame_0049.png,0.9680541533382455,0.27004147
frame_0049.png,frame_0050.png,0.9678401341197751,0.26308215
frame_0050.png,frame_0051.png,0.9691564148429087,0.24882963
frame_0051.png,frame_0052.png,0.9705163245208619,0.23319346
frame_0052.png,frame_0053.png,0.9695524079073551,0.2494792
frame_0053.png,frame_0054.png,0.9691997159431942,0.2455248
frame_0054.png,frame_0055.png,0.9700282532649387,0.23803273
frame_0055.png,frame_0056.png,0.9696111951985201,0.24754757
frame_0056.png,frame_0057.png,0.9689220047400378,0.2456065
frame_0057.png,frame_0058.png,0.9678129809090003,0.25932145
frame_0058.png,frame_0059.png,0.9694537065472681,0.24152793
frame_0059.png,frame_0060.png,0.9683997179783682,0.26654473
frame_0060.png,frame_0061.png,0.9668008669202839,0.2772706
frame_0061.png,frame_0062.png,0.9693413597510233,0.23743683
frame_0062.png,frame_0063.png,0.9695052925762921,0.24494943
frame_0063.png,frame_0064.png,0.97004116037786,0.23313646
frame_0064.png,frame_0065.png,0.9702707215521333,0.22698289
frame_0065.png,frame_0066.png,0.9685472454080883,0.24843098
frame_0066.png,frame_0067.png,0.9697134805365475,0.23601703
frame_0067.png,frame_0068.png,0.9694645680885207,0.2367454
frame_0068.png,frame_0069.png,0.968998800821068,0.24491526
frame_0069.png,frame_0070.png,0.9698418366070105,0.23323983
frame_0070.png,frame_0071.png,0.9693057418063071,0.24179092
frame_0071.png,frame_0072.png,0.9687557226321734,0.2549547
frame_0072.png,frame_0073.png,0.969985593527382,0.23179205
frame_0073.png,frame_0074.png,0.968777800039195,0.24427196
frame_0074.png,frame_0075.png,0.9691544084909924,0.23918226
frame_0075.png,frame_0076.png,0.9690175905474674,0.24365713
frame_0076.png,frame_0077.png,0.9698296413416458,0.22989333
frame_0077.png,frame_0078.png,0.9689919002929018,0.24379924
frame_0078.png,frame_0079.png,0.9695448227163023,0.23700887
frame_0079.png,frame_0080.png,0.9703456023360145,0.22679484
frame_0080.png,frame_0081.png,0.9700431112963684,0.23741618
frame_0081.png,frame_0082.png,0.970203960199373,0.2254822
