frame_1,frame_2,optical_flow_score
frame_0126.png,frame_0127.png,0.3287379
frame_0127.png,frame_0128.png,0.39033118
frame_0128.png,frame_0129.png,0.4722256
frame_0129.png,frame_0130.png,0.4647368
frame_0130.png,frame_0131.png,0.42188698
frame_0131.png,frame_0132.png,0.45102185
frame_0132.png,frame_0133.png,0.42913306
frame_0133.png,frame_0134.png,0.36183026
frame_0134.png,frame_0135.png,0.3631525
frame_0135.png,frame_0136.png,0.35449514
frame_0136.png,frame_0137.png,0.36232796
frame_0137.png,frame_0138.png,0.3300572
frame_0138.png,frame_0139.png,0.27633783
frame_0139.png,frame_0140.png,0.34081703
frame_0140.png,frame_0141.png,0.3566448
frame_0141.png,frame_0142.png,0.30855972
frame_0142.png,frame_0143.png,0.27810645
frame_0143.png,frame_0144.png,0.23566851
frame_0144.png,frame_0145.png,0.32080057
frame_0145.png,frame_0146.png,0.39499167
frame_0146.png,frame_0147.png,0.34477824
frame_0147.png,frame_0148.png,0.29189786
frame_0148.png,frame_0149.png,0.30127472
frame_0149.png,frame_0150.png,0.31348634
frame_0150.png,frame_0151.png,0.38595903
frame_0151.png,frame_0152.png,0.2680389
frame_0152.png,frame_0153.png,0.2978549
frame_0153.png,frame_0154.png,0.3675229
frame_0154.png,frame_0155.png,0.29066777
frame_0155.png,frame_0156.png,0.25884414
frame_0156.png,frame_0157.png,0.3268436
frame_0157.png,frame_0158.png,0.26998743
frame_0158.png,frame_0159.png,0.2710001
frame_0159.png,frame_0160.png,0.25408018
frame_0160.png,frame_0161.png,0.29548427
frame_0161.png,frame_0162.png,0.28645146
frame_0162.png,frame_0163.png,0.30123994
frame_0163.png,frame_0164.png,0.32438838
frame_0164.png,frame_0165.png,0.34745246
frame_0165.png,frame_0166.png,0.36511385
frame_0166.png,frame_0167.png,0.3190294
frame_0167.png,frame_0168.png,0.33704153
frame_0168.png,frame_0169.png,0.3392136
frame_0169.png,frame_0170.png,0.3364721
frame_0170.png,frame_0171.png,0.33296883
frame_0171.png,frame_0172.png,0.32433635
frame_0172.png,frame_0173.png,0.30250454
frame_0173.png,frame_0174.png,0.31059557
frame_0174.png,frame_0175.png,0.2974077
frame_0175.png,frame_0176.png,0.27471662
frame_0176.png,frame_0177.png,0.26069784
frame_0177.png,frame_0178.png,0.26001558
frame_0178.png,frame_0179.png,0.24472027
frame_0179.png,frame_0180.png,0.25787586
frame_0180.png,frame_0181.png,0.26527083
frame_0181.png,frame_0182.png,0.28874174
frame_0182.png,frame_0183.png,0.32939073
frame_0183.png,frame_0184.png,0.33783934
frame_0184.png,frame_0185.png,0.33584678
frame_0185.png,frame_0186.png,0.35191917
frame_0186.png,frame_0187.png,0.33773685
frame_0187.png,frame_0188.png,0.32411224
frame_0188.png,frame_0189.png,0.30782598
frame_0189.png,frame_0190.png,0.29842973
frame_0190.png,frame_0191.png,0.29720667
frame_0191.png,frame_0192.png,0.29001355
frame_0192.png,frame_0193.png,0.30309325
frame_0193.png,frame_0194.png,0.31922066
frame_0194.png,frame_0195.png,0.34818316
frame_0195.png,frame_0196.png,0.3456657
frame_0196.png,frame_0197.png,0.28122714
frame_0197.png,frame_0198.png,0.31421137
