frame,frequency_score
frame_0006.png,0.8566559018284919
frame_0007.png,0.8563139898631486
frame_0008.png,0.8557715441929399
frame_0009.png,0.8552498704070086
frame_0010.png,0.8545916827501119
frame_0011.png,0.8541679207674869
frame_0012.png,0.8543807636120246
frame_0013.png,0.8544554121870173
frame_0014.png,0.8542272425522414
frame_0015.png,0.8535606431028842
frame_0016.png,0.8536222324266377
frame_0017.png,0.8538993408607414
frame_0018.png,0.854096655884716
frame_0019.png,0.8541593751495696
frame_0020.png,0.8537167194824167
frame_0021.png,0.8537657818545719
frame_0022.png,0.8537367664626838
frame_0023.png,0.8542746520094326
frame_0024.png,0.8543358608365567
frame_0025.png,0.8546388625316638
frame_0295.png,0.8533016044801697
frame_0296.png,0.8533974657664378
frame_0300.png,0.8543261575759461
frame_0301.png,0.8540929485757383
frame_0338.png,0.8548314618102811
frame_0339.png,0.8547256029559805
frame_0340.png,0.8550272376529964
frame_0347.png,0.8547310307217622
frame_0348.png,0.8548339730443087
frame_0350.png,0.854880882188996
frame_0351.png,0.8549940808420226
frame_0352.png,0.8554744247576481
