frame_1,frame_2,optical_flow_score
frame_0126.png,frame_0127.png,0.34573758
frame_0127.png,frame_0128.png,0.40083435
frame_0128.png,frame_0129.png,0.50781775
frame_0129.png,frame_0130.png,0.4832744
frame_0130.png,frame_0131.png,0.41896048
frame_0131.png,frame_0132.png,0.4733615
frame_0132.png,frame_0133.png,0.43534368
frame_0133.png,frame_0134.png,0.37596253
frame_0134.png,frame_0135.png,0.36416307
frame_0135.png,frame_0136.png,0.3615403
frame_0136.png,frame_0137.png,0.38207492
frame_0137.png,frame_0138.png,0.34822848
frame_0138.png,frame_0139.png,0.27613288
frame_0139.png,frame_0140.png,0.3612087
frame_0140.png,frame_0141.png,0.3665025
frame_0141.png,frame_0142.png,0.31843773
frame_0142.png,frame_0143.png,0.28750044
frame_0143.png,frame_0144.png,0.23912492
frame_0144.png,frame_0145.png,0.33013254
frame_0145.png,frame_0146.png,0.42035553
frame_0146.png,frame_0147.png,0.35440165
frame_0147.png,frame_0148.png,0.28995842
frame_0148.png,frame_0149.png,0.31497133
frame_0149.png,frame_0150.png,0.3314337
frame_0150.png,frame_0151.png,0.3730734
frame_0151.png,frame_0152.png,0.2588056
frame_0152.png,frame_0153.png,0.30352065
frame_0153.png,frame_0154.png,0.3951614
frame_0154.png,frame_0155.png,0.29530308
frame_0155.png,frame_0156.png,0.2521514
frame_0156.png,frame_0157.png,0.3232808
frame_0157.png,frame_0158.png,0.28105015
frame_0158.png,frame_0159.png,0.2614091
frame_0159.png,frame_0160.png,0.24776031
frame_0160.png,frame_0161.png,0.29977366
frame_0161.png,frame_0162.png,0.29841614
frame_0162.png,frame_0163.png,0.31406528
frame_0163.png,frame_0164.png,0.34334055
frame_0164.png,frame_0165.png,0.36780876
frame_0165.png,frame_0166.png,0.36597806
frame_0166.png,frame_0167.png,0.33806834
frame_0167.png,frame_0168.png,0.3445562
frame_0168.png,frame_0169.png,0.35442126
frame_0169.png,frame_0170.png,0.34669814
frame_0170.png,frame_0171.png,0.34480402
frame_0171.png,frame_0172.png,0.3290576
frame_0172.png,frame_0173.png,0.31854776
frame_0173.png,frame_0174.png,0.32470506
frame_0174.png,frame_0175.png,0.3026635
frame_0175.png,frame_0176.png,0.28552598
frame_0176.png,frame_0177.png,0.2617528
frame_0177.png,frame_0178.png,0.2592244
frame_0178.png,frame_0179.png,0.2384434
frame_0179.png,frame_0180.png,0.2606976
frame_0180.png,frame_0181.png,0.2734339
frame_0181.png,frame_0182.png,0.3037176
frame_0182.png,frame_0183.png,0.35346425
frame_0183.png,frame_0184.png,0.37472895
frame_0184.png,frame_0185.png,0.36873898
frame_0185.png,frame_0186.png,0.37197733
frame_0186.png,frame_0187.png,0.35432935
frame_0187.png,frame_0188.png,0.33702308
frame_0188.png,frame_0189.png,0.31386256
frame_0189.png,frame_0190.png,0.30881462
frame_0190.png,frame_0191.png,0.30051345
frame_0191.png,frame_0192.png,0.30043465
frame_0192.png,frame_0193.png,0.30806574
frame_0193.png,frame_0194.png,0.33426237
frame_0194.png,frame_0195.png,0.35738668
frame_0195.png,frame_0196.png,0.35607606
frame_0196.png,frame_0197.png,0.2927885
frame_0197.png,frame_0198.png,0.31665868
frame_0198.png,frame_0199.png,0.298916
frame_0199.png,frame_0200.png,0.30633092
frame_0200.png,frame_0201.png,0.29319683
frame_0201.png,frame_0202.png,0.2969269
frame_0202.png,frame_0203.png,0.2728588
frame_0203.png,frame_0204.png,0.2629873
frame_0204.png,frame_0205.png,0.267249
frame_0205.png,frame_0206.png,0.26960084
frame_0206.png,frame_0207.png,0.26166642
frame_0207.png,frame_0208.png,0.2511202
frame_0208.png,frame_0209.png,0.24925058
frame_0209.png,frame_0210.png,0.269628
frame_0210.png,frame_0211.png,0.2749068
frame_0211.png,frame_0212.png,0.25493252
frame_0212.png,frame_0213.png,0.2396907
frame_0213.png,frame_0214.png,0.2479067
frame_0214.png,frame_0215.png,0.24811243
frame_0215.png,frame_0216.png,0.24124454
frame_0216.png,frame_0217.png,0.2643027
frame_0217.png,frame_0218.png,0.2644211
frame_0218.png,frame_0219.png,0.25691465
frame_0219.png,frame_0220.png,0.2955866
frame_0220.png,frame_0221.png,0.32649422
frame_0221.png,frame_0222.png,0.31526724
frame_0222.png,frame_0223.png,0.29735056
frame_0223.png,frame_0224.png,0.30410123
frame_0224.png,frame_0225.png,0.30468655
frame_0225.png,frame_0226.png,0.3264161
frame_0226.png,frame_0227.png,0.29927707
frame_0227.png,frame_0228.png,0.31245422
frame_0228.png,frame_0229.png,0.2989922
frame_0229.png,frame_0230.png,0.29120317
frame_0230.png,frame_0231.png,0.27805963
frame_0231.png,frame_0232.png,0.27609238
frame_0232.png,frame_0233.png,0.27099288
frame_0233.png,frame_0234.png,0.27232707
frame_0234.png,frame_0235.png,0.25733367
frame_0235.png,frame_0236.png,0.2435455
frame_0236.png,frame_0237.png,0.24157086
frame_0237.png,frame_0238.png,0.24628133
frame_0238.png,frame_0239.png,0.23355055
frame_0239.png,frame_0240.png,0.22671211
frame_0240.png,frame_0241.png,0.25260958
frame_0241.png,frame_0242.png,0.22535221
frame_0242.png,frame_0243.png,0.2426845
frame_0243.png,frame_0244.png,0.21395317
frame_0244.png,frame_0245.png,0.21629936
frame_0245.png,frame_0246.png,0.22502328
frame_0246.png,frame_0247.png,0.23367985
frame_0247.png,frame_0248.png,0.23440297
frame_0248.png,frame_0249.png,0.23775256
frame_0249.png,frame_0250.png,0.29230276
frame_0250.png,frame_0251.png,0.23308454
frame_0251.png,frame_0252.png,0.25969213
frame_0252.png,frame_0253.png,0.25803998
frame_0253.png,frame_0254.png,0.2558194
frame_0254.png,frame_0255.png,0.27627122
frame_0255.png,frame_0256.png,0.27672863
frame_0256.png,frame_0257.png,0.2334692
frame_0257.png,frame_0258.png,0.24651322
frame_0258.png,frame_0259.png,0.2634295
frame_0259.png,frame_0260.png,0.30620375
frame_0260.png,frame_0261.png,0.35735887
frame_0261.png,frame_0262.png,0.40734184
frame_0262.png,frame_0263.png,0.42005777
frame_0263.png,frame_0264.png,0.37317553
frame_0264.png,frame_0265.png,0.31134987
frame_0265.png,frame_0266.png,0.29288515
frame_0266.png,frame_0267.png,0.33861035
frame_0267.png,frame_0268.png,0.38409132
frame_0268.png,frame_0269.png,0.40649977
frame_0269.png,frame_0270.png,0.43783966
frame_0270.png,frame_0271.png,0.42281124
frame_0271.png,frame_0272.png,0.35877162
frame_0272.png,frame_0273.png,0.31008244
frame_0273.png,frame_0274.png,0.2997683
frame_0274.png,frame_0275.png,0.33571824
frame_0275.png,frame_0276.png,0.36972383
frame_0276.png,frame_0277.png,0.35060188
frame_0277.png,frame_0278.png,0.332624
frame_0278.png,frame_0279.png,0.2761978
frame_0279.png,frame_0280.png,0.25192362
frame_0280.png,frame_0281.png,0.28181237
frame_0281.png,frame_0282.png,0.33697212
frame_0282.png,frame_0283.png,0.3719578
frame_0283.png,frame_0284.png,0.37604082
frame_0284.png,frame_0285.png,0.36174494
frame_0285.png,frame_0286.png,0.33943135
frame_0286.png,frame_0287.png,0.28614405
frame_0287.png,frame_0288.png,0.3135235
frame_0288.png,frame_0289.png,0.35641629
frame_0289.png,frame_0290.png,0.3466364
frame_0290.png,frame_0291.png,0.3158547
frame_0291.png,frame_0292.png,0.31789374
frame_0292.png,frame_0293.png,0.3649435
frame_0293.png,frame_0294.png,0.37513027
frame_0294.png,frame_0295.png,0.4635045
frame_0295.png,frame_0296.png,0.5216882
frame_0296.png,frame_0297.png,0.49255964
frame_0297.png,frame_0298.png,0.41268304
frame_0298.png,frame_0299.png,0.37533242
frame_0299.png,frame_0300.png,0.38683423
frame_0300.png,frame_0301.png,0.47485852
frame_0301.png,frame_0302.png,0.38167697
frame_0302.png,frame_0303.png,0.33974725
frame_0303.png,frame_0304.png,0.24808195
frame_0304.png,frame_0305.png,0.37419853
frame_0305.png,frame_0306.png,0.48689985
frame_0306.png,frame_0307.png,0.44371468
frame_0307.png,frame_0308.png,0.2778539
frame_0308.png,frame_0309.png,0.3098279
frame_0309.png,frame_0310.png,0.3887719
frame_0310.png,frame_0311.png,0.41047892
